Time,ECG
2025-03-27T06:09:40.001,-4.2
2025-03-27T06:09:40.005,-4.2
2025-03-27T06:09:40.008,-4.2
2025-03-27T06:09:40.012,-4.2
2025-03-27T06:09:40.016,-4.2
2025-03-27T06:09:40.020,-4.2
2025-03-27T06:09:40.023,-4.1
2025-03-27T06:09:40.027,-3.9
2025-03-27T06:09:40.031,-3.6
2025-03-27T06:09:40.035,-3.3
2025-03-27T06:09:40.038,-2.9
2025-03-27T06:09:40.042,-2.5
2025-03-27T06:09:40.046,-2
2025-03-27T06:09:40.050,-1.4
2025-03-27T06:09:40.053,-1
2025-03-27T06:09:40.057,-1.1
2025-03-27T06:09:40.061,-2.1
2025-03-27T06:09:40.065,-3.5
2025-03-27T06:09:40.068,-4.5
2025-03-27T06:09:40.072,-5
2025-03-27T06:09:40.076,-5.1
2025-03-27T06:09:40.080,-5.1
2025-03-27T06:09:40.083,-5
2025-03-27T06:09:40.087,-4.9
2025-03-27T06:09:40.091,-4.7
2025-03-27T06:09:40.095,-4.4
2025-03-27T06:09:40.098,-4.2
2025-03-27T06:09:40.102,-4.1
2025-03-27T06:09:40.106,-4.1
2025-03-27T06:09:40.110,-4.1
2025-03-27T06:09:40.113,-4
2025-03-27T06:09:40.117,-4
2025-03-27T06:09:40.121,-4
2025-03-27T06:09:40.125,-4
2025-03-27T06:09:40.128,-4
2025-03-27T06:09:40.132,-4
2025-03-27T06:09:40.136,-4
2025-03-27T06:09:40.140,-4
2025-03-27T06:09:40.143,-3.9
2025-03-27T06:09:40.147,-3.9
2025-03-27T06:09:40.151,-4
2025-03-27T06:09:40.155,-4
2025-03-27T06:09:40.158,-3.9
2025-03-27T06:09:40.162,-3.9
2025-03-27T06:09:40.166,-3.9
2025-03-27T06:09:40.170,-3.9
2025-03-27T06:09:40.173,-3.9
2025-03-27T06:09:40.177,-3.9
2025-03-27T06:09:40.181,-3.9
2025-03-27T06:09:40.185,-3.8
2025-03-27T06:09:40.188,-3.8
2025-03-27T06:09:40.192,-3.8
2025-03-27T06:09:40.196,-3.8
2025-03-27T06:09:40.200,-3.8
2025-03-27T06:09:40.203,-3.8
2025-03-27T06:09:40.203,-3.8
2025-03-27T06:09:40.203,-3.8
2025-03-27T06:09:40.203,-3.8
2025-03-27T06:09:40.206,-3.8
2025-03-27T06:09:40.210,-3.8
2025-03-27T06:09:40.214,-3.8
2025-03-27T06:09:40.218,-3.8
2025-03-27T06:09:40.221,-3.7
2025-03-27T06:09:40.225,-3.7
2025-03-27T06:09:40.229,-3.7
2025-03-27T06:09:40.233,-3.7
2025-03-27T06:09:40.236,-3.7
2025-03-27T06:09:40.240,-3.7
2025-03-27T06:09:40.244,-3.7
2025-03-27T06:09:40.248,-3.6
2025-03-27T06:09:40.251,-3.6
2025-03-27T06:09:40.255,-3.6
