Time,ECG1_Filtered,is_r_peak
2025-05-22T17:02:07.284,-0.04,false
2025-05-22T17:02:07.287,-0.14,false
2025-05-22T17:02:07.291,-0.21,false
2025-05-22T17:02:07.295,-0.23,false
2025-05-22T17:02:07.299,-0.23,false
2025-05-22T17:02:07.302,-0.24,false
2025-05-22T17:02:07.306,-0.26,false
2025-05-22T17:02:07.310,-0.28,false
2025-05-22T17:02:07.314,-0.3,false
2025-05-22T17:02:07.317,-0.33,false
2025-05-22T17:02:07.321,-0.35,false
2025-05-22T17:02:07.325,-0.38,false
2025-05-22T17:02:07.329,-0.41,false
2025-05-22T17:02:07.332,-0.43,false
2025-05-22T17:02:07.336,-0.44,false
2025-05-22T17:02:07.340,-0.44,false
2025-05-22T17:02:07.344,-0.44,false
2025-05-22T17:02:07.347,-0.44,false
2025-05-22T17:02:07.351,-0.43,false
2025-05-22T17:02:07.355,-0.42,false
2025-05-22T17:02:07.359,-0.41,false
2025-05-22T17:02:07.362,-0.4,false
2025-05-22T17:02:07.366,-0.39,false
2025-05-22T17:02:07.370,-0.38,false
2025-05-22T17:02:07.374,-0.37,false
2025-05-22T17:02:07.377,-0.36,false
2025-05-22T17:02:07.381,-0.36,false
2025-05-22T17:02:07.385,-0.35,false
2025-05-22T17:02:07.389,-0.31,false
2025-05-22T17:02:07.392,-0.23,false
2025-05-22T17:02:07.396,-0.08,false
2025-05-22T17:02:07.400,0.14,false
2025-05-22T17:02:07.404,0.43,false
2025-05-22T17:02:07.407,0.78,false
2025-05-22T17:02:07.411,1.17,false
2025-05-22T17:02:07.415,1.57,false
2025-05-22T17:02:07.419,1.9,false
2025-05-22T17:02:07.422,2.01,true
2025-05-22T17:02:07.426,1.82,false
2025-05-22T17:02:07.430,1.36,false
2025-05-22T17:02:07.434,0.78,false
2025-05-22T17:02:07.437,0.2,false
2025-05-22T17:02:07.441,-0.26,false
2025-05-22T17:02:07.445,-0.59,false
2025-05-22T17:02:07.449,-0.77,false
2025-05-22T17:02:07.452,-0.83,false
2025-05-22T17:02:07.456,-0.8,false
2025-05-22T17:02:07.460,-0.71,false
2025-05-22T17:02:07.464,-0.59,false
2025-05-22T17:02:07.467,-0.48,false
2025-05-22T17:02:07.471,-0.38,false
2025-05-22T17:02:07.475,-0.31,false
2025-05-22T17:02:07.479,-0.26,false
2025-05-22T17:02:07.482,-0.23,false
2025-05-22T17:02:07.486,-0.2,false
2025-05-22T17:02:07.490,-0.17,false
2025-05-22T17:02:07.494,-0.15,false
2025-05-22T17:02:07.497,-0.13,false
2025-05-22T17:02:07.501,-0.12,false
2025-05-22T17:02:07.505,-0.1,false
2025-05-22T17:02:07.509,-0.09,false
2025-05-22T17:02:07.512,-0.07,false
2025-05-22T17:02:07.516,-0.05,false
2025-05-22T17:02:07.520,-0.04,false
2025-05-22T17:02:07.524,-0.02,false
2025-05-22T17:02:07.527,-0.01,false
2025-05-22T17:02:07.531,0.01,false
2025-05-22T17:02:07.535,0.02,false
2025-05-22T17:02:07.539,0.04,false
