"round(min(rr_interval_ms) AS min_rr, 2)","round(max(rr_interval_ms) AS max_rr, 2)","round(avg(rr_interval_ms) AS mean_rr, 2)","round(percentile_approx(rr_interval_ms, 0.5) AS median_rr, 2)","round(stddev(rr_interval_ms) AS std_rr, 2)"
844.0,942.0,893.0,844.0,69.3
301.0,1132.0,879.42,893.0,210.41
259.0,1125.0,847.09,881.0,230.44
109.0,1107.0,897.83,949.0,264.76
713.0,1233.0,883.27,885.0,159.92
689.0,2182.0,1106.11,971.0,482.16
690.0,1248.0,902.18,889.0,198.65
822.0,1253.0,983.8,960.0,127.5
769.0,1541.0,1025.4,963.0,213.08
800.0,2001.0,1157.75,933.0,459.51
792.0,2055.0,1172.44,978.0,428.75
248.0,971.0,850.58,938.0,201.52
615.0,1122.0,820.5,780.0,133.51
300.0,1841.0,958.55,933.0,384.27
236.0,1298.0,859.73,874.0,247.38
135.0,897.0,729.64,758.0,184.69
855.0,1380.0,978.6,896.0,176.22
23.0,1338.0,874.75,998.0,422.19
19.0,1436.0,754.62,967.0,483.73
532.0,1133.0,901.0,912.0,152.72
690.0,1425.0,893.09,914.0,213.17
885.0,1350.0,1049.5,990.0,171.05
997.0,1035.0,1021.0,1031.0,20.88
