Time,ECG
2025-05-22T17:02:07.284,-0.62
2025-05-22T17:02:07.284,-0.57
2025-05-22T17:02:07.284,-0.54
2025-05-22T17:02:07.284,-0.52
2025-05-22T17:02:07.284,-0.50
2025-05-22T17:02:07.284,-0.49
2025-05-22T17:02:07.284,-0.48
2025-05-22T17:02:07.284,-0.47
2025-05-22T17:02:07.284,-0.46
2025-05-22T17:02:07.284,-0.45
2025-05-22T17:02:07.284,-0.45
2025-05-22T17:02:07.284,-0.45
2025-05-22T17:02:07.284,-0.45
2025-05-22T17:02:07.284,-0.45
2025-05-22T17:02:07.284,-0.46
2025-05-22T17:02:07.284,-0.45
2025-05-22T17:02:07.284,-0.44
2025-05-22T17:02:07.284,-0.44
2025-05-22T17:02:07.284,-0.43
2025-05-22T17:02:07.284,-0.41
2025-05-22T17:02:07.284,-0.39
2025-05-22T17:02:07.284,-0.36
2025-05-22T17:02:07.284,-0.32
2025-05-22T17:02:07.284,-0.28
2025-05-22T17:02:07.284,-0.24
2025-05-22T17:02:07.284,-0.21
2025-05-22T17:02:07.284,-0.18
2025-05-22T17:02:07.284,-0.17
2025-05-22T17:02:07.284,-0.17
2025-05-22T17:02:07.287,-0.18
2025-05-22T17:02:07.291,-0.20
2025-05-22T17:02:07.295,-0.23
2025-05-22T17:02:07.299,-0.27
2025-05-22T17:02:07.302,-0.30
2025-05-22T17:02:07.306,-0.32
2025-05-22T17:02:07.310,-0.35
2025-05-22T17:02:07.314,-0.38
2025-05-22T17:02:07.317,-0.41
2025-05-22T17:02:07.321,-0.45
2025-05-22T17:02:07.325,-0.48
2025-05-22T17:02:07.329,-0.49
2025-05-22T17:02:07.332,-0.50
2025-05-22T17:02:07.336,-0.51
2025-05-22T17:02:07.340,-0.51
2025-05-22T17:02:07.344,-0.51
2025-05-22T17:02:07.347,-0.50
2025-05-22T17:02:07.351,-0.50
2025-05-22T17:02:07.355,-0.50
2025-05-22T17:02:07.359,-0.49
2025-05-22T17:02:07.362,-0.49
2025-05-22T17:02:07.366,-0.49
2025-05-22T17:02:07.370,-0.48
2025-05-22T17:02:07.374,-0.48
2025-05-22T17:02:07.377,-0.49
2025-05-22T17:02:07.381,-0.49
2025-05-22T17:02:07.385,-0.43
2025-05-22T17:02:07.389,-0.28
2025-05-22T17:02:07.392,-0.05
2025-05-22T17:02:07.396,0.23
2025-05-22T17:02:07.400,0.57
2025-05-22T17:02:07.404,0.97
2025-05-22T17:02:07.407,1.42
2025-05-22T17:02:07.411,1.86
2025-05-22T17:02:07.415,2.11
2025-05-22T17:02:07.419,1.95
2025-05-22T17:02:07.422,1.39
2025-05-22T17:02:07.426,0.72
2025-05-22T17:02:07.430,0.15
2025-05-22T17:02:07.434,-0.26
2025-05-22T17:02:07.437,-0.54
2025-05-22T17:02:07.441,-0.73
2025-05-22T17:02:07.445,-0.82
2025-05-22T17:02:07.449,-0.81
2025-05-22T17:02:07.452,-0.73
2025-05-22T17:02:07.456,-0.61
2025-05-22T17:02:07.460,-0.52
2025-05-22T17:02:07.464,-0.45
2025-05-22T17:02:07.467,-0.39
2025-05-22T17:02:07.471,-0.35
2025-05-22T17:02:07.475,-0.31
2025-05-22T17:02:07.479,-0.28
2025-05-22T17:02:07.482,-0.26
2025-05-22T17:02:07.486,-0.24
2025-05-22T17:02:07.490,-0.22
2025-05-22T17:02:07.494,-0.21
2025-05-22T17:02:07.497,-0.19
2025-05-22T17:02:07.501,-0.18
2025-05-22T17:02:07.505,-0.17
2025-05-22T17:02:07.509,-0.15
2025-05-22T17:02:07.512,-0.13
2025-05-22T17:02:07.516,-0.12
2025-05-22T17:02:07.520,-0.10
2025-05-22T17:02:07.524,-0.09
2025-05-22T17:02:07.527,-0.08
2025-05-22T17:02:07.531,-0.06
2025-05-22T17:02:07.535,-0.05
2025-05-22T17:02:07.539,-0.04
2025-05-22T17:02:07.542,-0.03
2025-05-22T17:02:07.546,-0.01
2025-05-22T17:02:07.550,0.00
2025-05-22T17:02:07.554,0.02
2025-05-22T17:02:07.557,0.04
2025-05-22T17:02:07.561,0.05
2025-05-22T17:02:07.565,0.07
2025-05-22T17:02:07.569,0.08
2025-05-22T17:02:07.572,0.10
2025-05-22T17:02:07.576,0.11
2025-05-22T17:02:07.580,0.13
2025-05-22T17:02:07.584,0.14
2025-05-22T17:02:07.587,0.16
2025-05-22T17:02:07.591,0.18
2025-05-22T17:02:07.595,0.20
2025-05-22T17:02:07.599,0.22
2025-05-22T17:02:07.602,0.24
2025-05-22T17:02:07.606,0.27
2025-05-22T17:02:07.610,0.30
2025-05-22T17:02:07.614,0.33
2025-05-22T17:02:07.617,0.37
2025-05-22T17:02:07.621,0.41
2025-05-22T17:02:07.625,0.44
2025-05-22T17:02:07.629,0.48
2025-05-22T17:02:07.632,0.52
2025-05-22T17:02:07.636,0.57
2025-05-22T17:02:07.640,0.61
2025-05-22T17:02:07.644,0.65
2025-05-22T17:02:07.644,0.69
2025-05-22T17:02:07.644,0.73
2025-05-22T17:02:07.644,0.77
2025-05-22T17:02:07.644,0.80
2025-05-22T17:02:07.644,0.84
2025-05-22T17:02:07.644,0.87
2025-05-22T17:02:07.644,0.90
2025-05-22T17:02:07.644,0.92
2025-05-22T17:02:07.644,0.93
