Time,ECG
2025-05-22T16:33:14.950,-0.09
2025-05-22T16:33:14.950,-0.06
2025-05-22T16:33:14.950,-0.05
2025-05-22T16:33:14.950,-0.07
2025-05-22T16:33:14.950,-0.11
2025-05-22T16:33:14.950,-0.13
2025-05-22T16:33:14.950,-0.09
2025-05-22T16:33:14.950,-0.07
2025-05-22T16:33:14.950,-0.06
2025-05-22T16:33:14.950,-0.09
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.13
2025-05-22T16:33:14.950,-0.15
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.08
2025-05-22T16:33:14.950,-0.08
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.13
2025-05-22T16:33:14.950,-0.11
2025-05-22T16:33:14.950,-0.11
2025-05-22T16:33:14.950,-0.14
2025-05-22T16:33:14.950,-0.14
2025-05-22T16:33:14.950,-0.11
2025-05-22T16:33:14.950,-0.10
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.12
2025-05-22T16:33:14.950,-0.13
2025-05-22T16:33:14.953,-0.14
2025-05-22T16:33:14.957,-0.13
2025-05-22T16:33:14.961,-0.15
2025-05-22T16:33:14.965,-0.13
2025-05-22T16:33:14.968,-0.10
2025-05-22T16:33:14.972,-0.11
2025-05-22T16:33:14.976,-0.12
2025-05-22T16:33:14.980,-0.12
2025-05-22T16:33:14.983,-0.11
2025-05-22T16:33:14.987,-0.09
2025-05-22T16:33:14.991,-0.05
2025-05-22T16:33:14.995,0.02
2025-05-22T16:33:14.998,0.05
2025-05-22T16:33:15.002,0.10
2025-05-22T16:33:15.006,0.12
2025-05-22T16:33:15.010,0.13
2025-05-22T16:33:15.013,0.18
2025-05-22T16:33:15.017,0.20
2025-05-22T16:33:15.021,0.15
2025-05-22T16:33:15.025,0.09
2025-05-22T16:33:15.028,0.03
2025-05-22T16:33:15.032,-0.01
2025-05-22T16:33:15.036,-0.03
2025-05-22T16:33:15.040,-0.05
2025-05-22T16:33:15.043,-0.11
2025-05-22T16:33:15.047,-0.15
2025-05-22T16:33:15.051,-0.18
2025-05-22T16:33:15.055,-0.22
2025-05-22T16:33:15.058,-0.24
2025-05-22T16:33:15.062,-0.26
2025-05-22T16:33:15.066,-0.26
2025-05-22T16:33:15.070,-0.24
2025-05-22T16:33:15.073,-0.27
2025-05-22T16:33:15.077,-0.29
2025-05-22T16:33:15.081,-0.29
2025-05-22T16:33:15.085,-0.27
2025-05-22T16:33:15.088,-0.26
2025-05-22T16:33:15.092,-0.25
